Unnamed: 0,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
39,Jet Airways,3/06/2024,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No Info,12685.4
40,Multiple carriers,21/05/2024,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No Info,8199.1
41,Air India,15/03/2024,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No Info,7406.9
42,Jet Airways,18/05/2024,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,10517.05
43,Air Asia,6/05/2024,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No Info,2875.5499999999997
44,Multiple carriers,21/03/2024,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No Info,11102.699999999999
45,SpiceJet,24/03/2024,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,2997.95
46,IndiGo,27/05/2024,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No Info,3351.5499999999997
47,Air India,3/05/2024,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No Info,3966.95
48,Air India,15/05/2024,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No Info,5199.45
49,Jet Airways,27/06/2024,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,9477.5
50,Jet Airways,9/03/2024,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,6121.7
51,Jet Airways,1/05/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No Info,10302.85
52,IndiGo,24/03/2024,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No Info,3720.45
53,IndiGo,18/06/2024,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No Info,3351.5499999999997
54,Air Asia,3/04/2024,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No Info,3810.5499999999997
55,Jet Airways,24/03/2024,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No Info,12096.35
56,Air India,01/03/2024,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No Info,14743.25
57,Vistara,6/03/2024,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No Info,6301.9
58,Multiple carriers,6/05/2024,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No Info,6862.05
59,Vistara,6/03/2024,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No Info,10535.75
60,Air India,6/06/2024,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No Info,7111.099999999999
61,Air India,3/04/2024,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No Info,4349.45
62,Multiple carriers,3/06/2024,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No Info,10645.4
63,IndiGo,15/05/2024,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No Info,6112.349999999999
64,Vistara,24/05/2024,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No Info,3133.95
65,IndiGo,24/06/2024,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No Info,5009.9
66,Vistara,24/04/2024,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No Info,4592.55
67,Air India,6/05/2024,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No Info,3081.25
68,Air India,21/05/2024,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No Info,9231.85
69,IndiGo,12/03/2024,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No Info,5352.45
70,Jet Airways,1/06/2024,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No Info,4826.3
71,Jet Airways,09/03/2024,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,7763.9
72,Multiple carriers,24/06/2024,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,9172.35
73,Jet Airways,24/06/2024,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2 stops,No Info,10896.15
74,IndiGo,21/03/2024,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No Info,5859.05
75,Vistara,09/03/2024,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No Info,6154.0
76,GoAir,3/04/2024,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No Info,3313.2999999999997
77,IndiGo,3/04/2024,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No Info,3441.65
78,Jet Airways,15/06/2024,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,8722.699999999999
79,SpiceJet,21/03/2024,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,2832.2
80,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,9217.4
81,Jet Airways,24/03/2024,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No Info,6144.65
82,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1 stop,No Info,11849.85
83,IndiGo,27/06/2024,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No Info,5009.9
84,Multiple carriers,18/05/2024,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No Info,8667.449999999999
85,Jet Airways,06/03/2024,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,11655.199999999999
86,IndiGo,24/06/2024,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No Info,4790.599999999999
87,Jet Airways,6/06/2024,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2 stops,No Info,11061.9
88,Jet Airways,1/04/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,6004.4
89,Jet Airways,24/05/2024,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,9097.55
90,Multiple carriers,27/05/2024,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No Info,8199.1
91,Multiple carriers,6/03/2024,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No Info,14498.449999999999
92,Jet Airways,12/03/2024,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No Info,11744.449999999999
93,Air India,6/03/2024,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No Info,11685.8
94,Air India,21/04/2024,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No Info,4148.0
95,IndiGo,21/06/2024,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No Info,3009.0
96,SpiceJet,15/05/2024,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,2768.45
97,Jet Airways,3/06/2024,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,5506.3
98,Jet Airways,18/06/2024,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No Info,6834.0
99,Jet Airways,12/06/2024,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 13 Jun,16h 35m,2 stops,No Info,12155.0
100,Jet Airways,15/05/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No Info,12563.85
101,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12h 15m,1 stop,No Info,12698.15
102,Jet Airways,24/06/2024,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,8722.699999999999
103,Air India,12/05/2024,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 May,24h,1 stop,No Info,5548.8
104,Air India,1/05/2024,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No Info,5202.849999999999
105,Jet Airways,18/05/2024,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,11074.65
106,Multiple carriers,27/03/2024,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No Info,9707.85
107,Multiple carriers,27/03/2024,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No Info,6437.9
108,Air India,9/05/2024,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2 stops,No Info,9856.6
109,Jet Airways,24/05/2024,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2 stops,No Info,12859.65
110,Jet Airways,18/03/2024,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1 stop,No Info,11521.75
111,IndiGo,12/04/2024,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No Info,4913.0
112,Vistara,12/05/2024,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1 stop,No Info,7987.45
113,Jet Airways,6/03/2024,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1 stop,No Info,14470.4
114,GoAir,27/06/2024,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No Info,4488.849999999999
115,Multiple carriers,18/05/2024,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No Info,8795.8
116,Air India,6/03/2024,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1 stop,No Info,10775.449999999999
117,Multiple carriers,3/03/2024,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1 stop,No Info,12874.949999999999
118,Vistara,12/06/2024,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No Info,3967.7999999999997
119,Jet Airways,9/05/2024,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No Info,13220.9
120,SpiceJet,9/04/2024,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No Info,3375.35
121,Air India,3/05/2024,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No Info,2635.0
122,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,8213.55
123,Air India,1/03/2024,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,20h 15m,1 stop,No Info,23315.5
124,IndiGo,12/05/2024,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No Info,3009.0
125,Air India,21/05/2024,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,23h 10m,2 stops,No Info,9074.6
126,Jet Airways,12/06/2024,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 13 Jun,18h 10m,1 stop,No Info,11087.4
127,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1 stop,No Info,12229.8
128,IndiGo,24/06/2024,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No Info,3351.5499999999997
129,IndiGo,3/06/2024,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No Info,3057.45
130,Air India,21/03/2024,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8h,1 stop,No Info,5042.2
131,Jet Airways,15/06/2024,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,8722.699999999999
132,Vistara,12/05/2024,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No Info,5283.599999999999
133,IndiGo,15/06/2024,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No Info,4083.4
134,Multiple carriers,21/05/2024,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,14h,1 stop,No Info,11956.949999999999
135,Jet Airways,18/05/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2 stops,No Info,12859.65
136,Jet Airways,6/06/2024,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21h 40m,2 stops,No Info,11369.6
137,Air India,27/06/2024,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21h 15m,2 stops,No Info,8874.85
138,Jet Airways,24/05/2024,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,3425.5
139,Jet Airways,3/03/2024,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No Info,14470.4
140,Multiple carriers,9/04/2024,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,8h,1 stop,No Info,11064.449999999999
141,GoAir,6/06/2024,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 07 Jun,8h 15m,1 stop,No Info,5683.099999999999
142,IndiGo,15/06/2024,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No Info,4790.599999999999
143,IndiGo,9/06/2024,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No Info,5475.7
144,Multiple carriers,21/05/2024,Delhi,Cochin,DEL → HYD → COK,13:05,00:55 22 May,11h 50m,1 stop,No Info,8063.099999999999
145,Jet Airways,21/05/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,9217.4
146,Jet Airways,3/06/2024,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,13020.3
147,Air India,3/04/2024,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,20h 55m,1 stop,No Info,4349.45
148,IndiGo,24/06/2024,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No Info,5224.95
149,Multiple carriers,9/06/2024,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No Info,5954.25
150,SpiceJet,3/04/2024,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Apr,2h 20m,non-stop,No Info,3292.0499999999997
151,Jet Airways,21/03/2024,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,7879.5
152,GoAir,27/06/2024,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No Info,3313.2999999999997
153,Jet Airways,12/05/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No Info,12563.85
154,Jet Airways,24/05/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,7298.099999999999
155,Air India,9/05/2024,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55 10 May,23h 35m,2 stops,No Info,9092.449999999999
156,Jet Airways,27/06/2024,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 28 Jun,16h 35m,2 stops,No Info,12155.0
157,IndiGo,03/03/2024,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,non-stop,No Info,7526.75
158,Jet Airways,12/05/2024,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,9217.4
159,Jet Airways,6/03/2024,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 07 Mar,26h 10m,1 stop,No Info,14470.4
160,Jet Airways,1/05/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 02 May,28h 50m,1 stop,In-flight meal not included,7916.9
161,IndiGo,24/03/2024,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,non-stop,No Info,4060.45
162,Air India,9/06/2024,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15 10 Jun,25h 15m,1 stop,No Info,6512.7
163,IndiGo,9/05/2024,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No Info,5475.7
164,SpiceJet,12/06/2024,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No Info,4474.4
165,Jet Airways,27/05/2024,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 28 May,15h 25m,1 stop,In-flight meal not included,10963.3
166,Air India,3/03/2024,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No Info,5178.2
167,SpiceJet,21/05/2024,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No Info,2814.35
168,Jet Airways,27/03/2024,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 28 Mar,9h 10m,1 stop,In-flight meal not included,5559.0
169,IndiGo,27/05/2024,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No Info,2906.15
170,Jet Airways,3/04/2024,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 04 Apr,22h 35m,1 stop,In-flight meal not included,4400.45
171,Air India,18/04/2024,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No Info,7009.099999999999
172,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,No Info,12474.6
173,Multiple carriers,27/06/2024,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No Info,11548.949999999999
174,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 07 May,12h 10m,1 stop,In-flight meal not included,8213.55
175,Jet Airways,12/06/2024,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 13 Jun,17h 35m,1 stop,No Info,11087.4
176,IndiGo,3/04/2024,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 04 Apr,5h 5m,1 stop,No Info,4312.05
177,Vistara,21/05/2024,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50 22 May,25h 50m,1 stop,No Info,7943.25
178,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 07 May,20h,1 stop,In-flight meal not included,8213.55
179,Multiple carriers,21/05/2024,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No Info,12135.449999999999
180,Jet Airways,1/06/2024,Delhi,Cochin,DEL → BOM → COK,10:00,04:25 02 Jun,18h 25m,1 stop,In-flight meal not included,8722.699999999999
181,Jet Airways,27/03/2024,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No Info,4826.3
182,Multiple carriers,15/05/2024,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 16 May,9h 30m,1 stop,No Info,11667.949999999999
183,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1 stop,In-flight meal not included,8213.55
184,IndiGo,12/05/2024,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No Info,3279.2999999999997
185,SpiceJet,24/06/2024,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No Info,4090.2
186,IndiGo,27/06/2024,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 28 Jun,5h 45m,1 stop,No Info,4908.75
187,Jet Airways,6/06/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 07 Jun,24h 10m,1 stop,In-flight meal not included,8958.15
188,IndiGo,3/06/2024,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No Info,4083.4
189,Air Asia,12/06/2024,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No Info,2875.5499999999997
190,IndiGo,03/03/2024,Banglore,New Delhi,BLR → HYD → DEL,12:10,17:05,4h 55m,1 stop,No Info,7427.3
191,Air India,27/03/2024,Delhi,Cochin,DEL → TRV → COK,05:15,06:50 28 Mar,25h 35m,1 stop,No Info,6090.25
192,IndiGo,24/06/2024,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No Info,5450.2
193,Jet Airways,27/06/2024,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No Info,6813.599999999999
194,Jet Airways,12/03/2024,Banglore,New Delhi,BLR → BOM → DEL,20:35,15:15 13 Mar,18h 40m,1 stop,In-flight meal not included,9423.949999999999
195,SpiceJet,27/06/2024,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3011.5499999999997
196,Jet Airways,12/06/2024,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 13 Jun,12h 10m,1 stop,No Info,10600.35
197,Jet Airways,24/06/2024,Delhi,Cochin,DEL → BOM → COK,09:00,04:25 25 Jun,19h 25m,1 stop,In-flight meal not included,8722.699999999999
198,Air India,18/03/2024,Banglore,New Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No Info,3774.85
199,Multiple carriers,27/03/2024,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,8h 25m,1 stop,No Info,10656.449999999999
200,GoAir,24/03/2024,Kolkata,Banglore,CCU → BOM → BLR,22:25,07:40 25 Mar,9h 15m,1 stop,No Info,8577.35
